uv,diffuse,caption
de9692ccab2749df8773e99f5e5f689a.png,de9692ccab2749df8773e99f5e5f689a.png,"a glowing red neon sign with a metallic, speckled texture, emitting a bright light against a dark background."
f874281b40e74e749d7c7389457ad92d.png,f874281b40e74e749d7c7389457ad92d.png,"a low-poly tree with a geometric design, featuring a green canopy and a reddish-brown trunk with a rough texture."
3433dafe6f514f2aaf0859950514738f.png,3433dafe6f514f2aaf0859950514738f.png,"a sleek, modern stool with a dark, matte finish and a minimalist design. the legs are straight and tapered, while the seat is flat and slightly curved. the overall appearance suggests a contemporary aesthetic with a focus on simplicity and functionality."
322cc54ac3624811b79eece9027f5a03.png,322cc54ac3624811b79eece9027f5a03.png,"a wooden table with a teal-colored tablecloth, featuring a smooth finish and a warm, polished wood grain texture."
bea6df9dc3ae4ca6b27624d762fcde84.png,bea6df9dc3ae4ca6b27624d762fcde84.png,"a wooden block with a smooth, light brown surface and visible grain patterns, standing upright on a reflective gray surface."
67e42c8425d74b5baa88f0fc0faca621.png,67e42c8425d74b5baa88f0fc0faca621.png,"a tall, slender red pole with a blue and orange base, featuring a smooth texture and a matte finish."
f0a27ca90db04633b8ab304fb51bb3d1.png,f0a27ca90db04633b8ab304fb51bb3d1.png,"a stylized, minimalist representation of a brown, rectangular box with a smooth, matte finish and a slightly darker corner, suggesting a three-dimensional form."
4bba778145e5479c85b9c20386475e1d.png,4bba778145e5479c85b9c20386475e1d.png,"a clear glass bottle of jack daniel's tennessee whiskey, featuring a black label with white and gold text, showcasing its vintage design and distilled quality."
d784fc9e94de4a248189b3ea1c1744bf.png,d784fc9e94de4a248189b3ea1c1744bf.png,"a cylindrical container with a reflective metallic lid, featuring a vibrant red body and a glowing yellow flame design on the side."
f7a548ba0e5848c180bfaa9093e3ab71.png,f7a548ba0e5848c180bfaa9093e3ab71.png,"a wooden stool with a white and orange checkered seat and backrest, featuring a smooth and shiny texture."
